   Bytes Format Units   Label  Explanations
DDO165              46  1 2003A&A...401..483H
MCG -03-34-002      57    2005MNRAS.361...34D
UGC08215            25  2 2008MNRAS.386.1667B
UGC08245            18    2017ApJ...848L..10B
MCG -04-31-038      59 18 2005MNRAS.361...34D
ESO269-058          62 18 1999ApJ...524..612B
NGC5023            178  4 2005ApJS..160..149S
DDO167              19  2 2008MNRAS.386.1667B
UGC08313           117    1981ApJS...47..139F
DDO168              59 17 1994A&AS..107..129B
DDO169NW            30    1999PhDT........27S
DDO169              48 22 1986A&AS...63..323H
NGC5055            381    2005ApJS..160..149S
AGC239141           16  5 2016ALFALFA.......A
NGC5068             74    2005MNRAS.361...34D
AGC732602           27  4 2011AJ....142..170H
KK195               24  2 2008MNRAS.386.1667B
NGC5102            204    2005MNRAS.361...34D
KK200               17  2 2008MNRAS.386.1667B
NGC5128            477    2004AJ....128...16K
UCD320              45  0 2018ApJ...858...20V
UCD330              72  0 2018ApJ...858...20V
IC4247              33 18 1999ApJ...524..612B
ESO324-024          80    2005MNRAS.361...34D
CVnI                18  2 2017MNRAS.465.2420W
PGC170257           50    2011LVG.HIPASS....K
NGC5204            115    2005ApJS..160..149S
NGC5194            175  7 1986MNRAS.221..393A
NGC5195            165    2005ApJS..160..149S
UGC08508            46  2 2008MNRAS.386.1667B
AGC238890           20  6 2011AJ....142..170H
[KK98]206           57  2 2000A&AS..141..469H
NGC5229            126  4 2005ApJS..160..149S
NGC5238             40  0 1981ApJ...247..823T
ESO270-017         147    2005MNRAS.361...34D
UGCA365             31  2 2008MNRAS.386.1667B
NGC5236            261    2005MNRAS.361...34D
HIDEEP J1337-33     20    2004AJ....127.2031K
ESO444-084          56 18 2004AJ....128...16K
HIPASS J1337-39     37 18 2004AJ....128...16K
NGC5237             77 18 2004AJ....128...16K
UGC08638            31  2 2008MNRAS.386.1667B
UGC08647            47  3 1990ApJS...72..245S
DDO181              39  2 2008MNRAS.386.1667B
NGC5253             67    2004AJ....128...16K
IC4316              22  2 2008MNRAS.386.1667B
NGC5264             35    2004AJ....128...16K
DDO182              38    1981ApJS...47..139F
dw1343+58           37  1 2020AJ....159...37K
ESO325-011          58  1 2012MNRAS.420.2924K
[KK2000] 59         71  3 2012MNRAS.420.2924K
HIPASS J1348-37     39 18 2005MNRAS.361...34D
ESO383-087          33 18 2004AJ....128...16K
DDO183              29  2 2008MNRAS.386.1667B
HIPASS J1351-47     39 18 2005MNRAS.361...34D
HIZOA J1353-58      17  5 2016AJ....151...52S
KKH86               14  2 2003A&A...401..483H
HolmIV              78 17 1994A&AS..107..129B
UGC08833            28  2 2008MNRAS.386.1667B
GBT 1355+5439       27    2012ApJ...761..186M
ESO384-016          17    2006PhD...........B
BootesIII           33  8 2009ApJ...702L...9C
BootesII            25 17 2009ApJ...690..453K
BootesI             12  1 2017MNRAS.465.2420W
NGC5398             98    2005MNRAS.361...34D
MESSIER101         147 11 1979A&A....74..138H
NGC5408             70    2005MNRAS.361...34D
NGC5474             39  6 1978ApJ...223..391D
NGC5477             53  4 1980MNRAS.191..253D
KK230               17  2 2008MNRAS.386.1667B
dw1408+56           55  4 2020AJ....159...37K
M101dwB             69  5 2020AJ....159...37K
CIRCINUS           251    2005MNRAS.361...34D
KKH87               38  2 2003A&A...401..483H
DDO187              31  2 2008MNRAS.386.1667B
NGC5585            145  4 2005ApJS..160..149S
DDO190              45  2 2005ApJS..160..149S
PGC051659           46  2 2008MNRAS.386.1667B
ESO222-010          46    2005MNRAS.361...34D
DDO194              86 22 1991A&AS...87..425R
MRK0475             32    1999A&AS..139....1T
HIPASS J1441-62     52    2004AJ....128...16K
ESO272-025          42    2005MNRAS.361...34D
KKR11               29 12 2000A&AS..147..187H
UGC09540            39    2000A&AS..147..187H
ESO273-014         185    2005MNRAS.361...34D
ESO223-009          61 18 2004AJ....128...16K
UGC09660            66    2005ApJS..160..149S
UMin                21  1 2017MNRAS.465.2420W
ESO274-001         170 18 2005MNRAS.361...34D
KKR18               34  3 2018ApJ...861...49H
HIPASS J1526-51     27  6 2016AJ....151...52S
HIZOA J1528-52      32 13 2016AJ....151...52S
UGC09893            45    1981ApJ...247..823T
UGC09992            49    1979ApJ...231..327T
PGC057323           72    2005MNRAS.361...34D
HIZOA J1616-55      51  7 2016AJ....151...52S
ESO137-018         138  2 2012MNRAS.420.2924K
Hercules            11  2 2017MNRAS.465.2420W
KDG235              29  6 1992MNRAS.258..334S
Draco               20  1 2017MNRAS.465.2420W
Milky Way          440    2004AJ....127.2031K
IC4662              86    2004AJ....128...16K
NGC6503            196  6 1981ApJS...47..139F
IC4710              46    2005MNRAS.361...34D
NGC6684            219    1997A&AS..124...61B
Sag dSph            27  2 2014ApJ...783....7C
ESO104-022          38    2004AJ....128...16K
NGC6744            323    2004AJ....128...16K
ESO104-044          70    2011LVG.HIPASS....K
AM1909-615          66 10 2001A&A...377..801H
HIZOAJ1914+10       66  2 2005AJ....129..220D
Sag dIr             28 18 2004AJ....128...16K
IC4870              78    2005MNRAS.361...34D
NGC6822             80    2004AJ....128...16K
LV J1952+1428       28  2 2011ApJ...739L..26M
KK246               52  2 2008MNRAS.386.1667B
IC4951             122    2005MNRAS.361...34D
UGC11583            96  2 2008MNRAS.386.1667B
KK251               52  2 2008MNRAS.386.1667B
KK252               28  2 2003A&A...401..483H
NGC6946            169  5 2000A&A...362..544K
KKR55               37  2 2003A&A...401..483H
DDO210              19  2 2008MNRAS.386.1667B
Cepheus1            90  5 2000A&A...362..544K
IC5052             174 18 2004AJ....128...16K
KKR59               63  5 2000A&A...362..544K
EZOA J2120+45      100 29 2019MNRAS.489.2907S
Segue 3              3  6 2011AJ....142...88F
NGC7090            205    2005MNRAS.361...34D
IC5152              85  1 2012MNRAS.420.2924K
6dF J2218489-461303  30    2019MNRAS.488.5352K
IC5201             185    2019MNRAS.488.5352K
ESO289-020          75    2019MNRAS.488.5352K
ESO238-005          83    2004AJ....128...16K
AM2220-460          50    2019MNRAS.488.5352K
Pegasus III         13  6 2016ApJ...833...16K
And XXVIII          12  4 2013ApJ...768...50T
Aquarius 2          13  8 2016MNRAS.463..712T
DDO215              56    2004AJ....128...16K
Tucana              37  8 2017MNRAS.465.2420W
Tucana 2            20 10 2016ApJ...819...53W
Grus 1               7 16 2016ApJ...819...53W
Lac I               24  2 2017MNRAS.465.2420W
PiscesII            13  7 2015ApJ...810...56K
AGC322463           23  3 2014MNRAS.442L..46T
NGC7462            183    2005MNRAS.361...34D
NGC7640            238    2005ApJS..160..149S
UGC12588            90    1981ApJS...47..139F
UGCA438             35  8 1982MNRAS.200..325L
Cas dSph            29  3 2017MNRAS.465.2420W
ESO347-017          69    2005MNRAS.361...34D
Pegasus             23  1 2003A&A...401..483H
DDO217             117    1981ApJS...47..139F
IC5332             102    2004AJ....128...16K
LV J2335-3713       29  4 2011ApJS..197...28P
NGC7713            182    2004AJ....128...16K
UGC12713            95  5 2011AJ....142..170H
PGC680341           48    2017MNRAS.472.4832W
UGCA442             94 18 2004AJ....128...16K
KKH98               21  2 2008MNRAS.386.1667B
ESO348-009          85    2005MNRAS.361...34D
Peg dSph            22  7 2017MNRAS.465.2420W
ESO149-003          39    2004MNRAS.350.1195M
And XXI             17 13 2012ApJ...752...45T
Tucana III           4    2017ApJ...838...11S
NGC7793            172 18 2004AJ....128...16K
And XXIX            13  3 2013ApJ...768...50T
